Dati aggregati delle interazioni con i tuoi post organici e sponsorizzati nel corso del tempo. La data indica quando i tuoi post sono stati visualizzati dagli utenti LinkedIn. La data è posticipata di un massimo di 2 giorni. Tutte le date e gli orari sono nel fuso orario UTC.;;;;;;;;;;;;;;;;;;;
Data;Impressioni (organiche);Impressioni (sponsorizzate);Impressioni (totale);Impressioni uniche (organiche);Clic (organici);Clic (sponsorizzati);Clic (totale);Reazioni (organiche);Reazioni (sponsorizzate);Reazioni (totale);Commenti (organici);Commenti (sponsorizzati);Commenti (totale);Diffusioni post (organiche);Diffusioni post (sponsorizzate);Diffusioni post (totali);Percentuale di interesse (organico);Percentuale di interesse (sponsorizzato);Percentuale di interesse (totale)
04/18/2026;63;0;63;20;4;0;4;5;0;5;0;0;0;0;0;0;0,142857142857143;0;0,142857142857143
04/19/2026;22;0;22;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04/20/2026;56;0;56;19;14;0;14;1;0;1;0;0;0;0;0;0;0,267857142857143;0;0,267857142857143
04/21/2026;112;0;112;39;8;0;8;5;0;5;2;0;2;0;0;0;0,133928571428571;0;0,133928571428571
04/22/2026;96;0;96;32;6;0;6;4;0;4;0;0;0;0;0;0;0,104166666666667;0;0,104166666666667
04/23/2026;48;0;48;17;1;0;1;0;0;0;0;0;0;0;0;0;0,0208333333333333;0;0,0208333333333333
04/24/2026;29;0;29;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04/25/2026;22;0;22;10;4;0;4;1;0;1;0;0;0;0;0;0;0,227272727272727;0;0,227272727272727
04/26/2026;11;0;11;9;2;0;2;1;0;1;0;0;0;0;0;0;0,272727272727273;0;0,272727272727273
04/27/2026;64;0;64;29;2;0;2;4;0;4;0;0;0;0;0;0;0,09375;0;0,09375
04/28/2026;91;0;91;29;28;0;28;5;0;5;0;0;0;0;0;0;0,362637362637363;0;0,362637362637363
04/29/2026;141;0;141;54;31;0;31;10;0;10;2;0;2;0;0;0;0,304964539007092;0;0,304964539007092
04/30/2026;330;0;330;105;28;0;28;18;0;18;0;0;0;0;0;0;0,139393939393939;0;0,139393939393939
05/01/2026;187;0;187;60;21;0;21;7;0;7;0;0;0;0;0;0;0,149732620320856;0;0,149732620320856
05/02/2026;162;0;162;27;45;0;45;3;0;3;0;0;0;0;0;0;0,296296296296296;0;0,296296296296296
05/03/2026;204;0;204;40;27;0;27;2;0;2;0;0;0;0;0;0;0,142156862745098;0;0,142156862745098
05/04/2026;663;0;663;74;66;0;66;9;0;9;0;0;0;0;0;0;0,113122171945701;0;0,113122171945701
05/05/2026;714;0;714;52;18;0;18;8;0;8;0;0;0;0;0;0;0,0364145658263305;0;0,0364145658263305
05/06/2026;114;0;114;16;9;0;9;6;0;6;1;0;1;0;0;0;0,140350877192982;0;0,140350877192982
05/07/2026;846;0;846;80;75;0;75;25;0;25;0;0;0;1;0;1;0,119385342789598;0;0,119385342789598
05/08/2026;359;0;359;53;52;0;52;8;0;8;0;0;0;0;0;0;0,167130919220056;0;0,167130919220056
05/09/2026;40;0;40;20;5;0;5;0;0;0;4;0;4;0;0;0;0,225;0;0,225
05/10/2026;81;0;81;18;8;0;8;4;0;4;0;0;0;0;0;0;0,148148148148148;0;0,148148148148148
05/11/2026;110;0;110;43;11;0;11;14;0;14;0;0;0;0;0;0;0,227272727272727;0;0,227272727272727
